,0,1,2,3,4,5,6,7,8,9
417,(0.0022712311538030192+0j),(-0.0015881218791807916+0j),(0.049143999010845985+0j),(-0.08610601460764737-0.01959657277617833j),(-0.08610601460764737+0.01959657277617833j),(-0.07823532901788254-0.01624864696831406j),(-0.07823532901788254+0.01624864696831406j),(0.013741749988544905+0j),(-0.03252965055383609+0j),(-0.03483302793104284+0j)
418,(0.03418980789738042+0j),(-0.029701131292537663+0j),(0.012751283538321985+0j),(0.012598857956806913-0.001250177325658524j),(0.012598857956806913+0.001250177325658524j),(0.021114483755891346+5.0885188818365516e-05j),(0.021114483755891346-5.0885188818365516e-05j),(0.001752277331055716+0j),(0.024452744782671045+0j),(-0.031094960033940047+0j)
419,0j,0j,0j,-0j,0j,-0j,0j,0j,0j,(0.14733302095783907+0j)
420,0j,0j,0j,-0j,0j,-0j,0j,0j,0j,(0.14733302095783896+0j)
421,(-0.0007290213432899421+0j),(0.0006802762586758588+0j),(-0.06127353468402002+0j),(-0.028988893334837677+0.02556484181551564j),(-0.028988893334837677-0.02556484181551564j),(0.010088123203373687-0.020048988321105132j),(0.010088123203373687+0.020048988321105132j),(-0.0911065707781429+0j),(0.08029320897364389+0j),(-0.03790285127046558+0j)
422,(-0.00206220390721053+0j),(0.0017523163002765563+0j),(-0.02108726070468984+0j),(-0.00635835276304261+0.07515196897684731j),(-0.00635835276304261-0.07515196897684731j),(-0.014434990045651078+0.0313154447509983j),(-0.014434990045651078-0.0313154447509983j),(-0.04263398805486632+0j),(0.05348243724044176+0j),(-0.1375223632076045+0j)
423,(-0.0020622039072102894+0j),(0.0017523163002764544+0j),(-0.021087260704689994+0j),(-0.0063583527630425825+0.07515196897684734j),(-0.0063583527630425825-0.07515196897684734j),(-0.014434990045650981+0.0313154447509984j),(-0.014434990045650981-0.0313154447509984j),(-0.04263398805486644+0j),(0.053482437240441896+0j),(-0.1375223632076046+0j)
424,(0.019973235229792403+0j),(-0.017252167429905405+0j),(0.008123442632956796+0j),(-0.013659570205160567+0.006972068710460065j),(-0.013659570205160567-0.006972068710460065j),(-0.00883376609272231+0.006133645324478294j),(-0.00883376609272231-0.006133645324478294j),(-0.004196160420669614+0j),(-0.01438225803732568+0j),(0.014141133097164894+0j)
425,(0.019973235229792476+0j),(-0.01725216742990549+0j),(0.008123442632956673+0j),(-0.013659570205160575+0.006972068710460077j),(-0.013659570205160575-0.006972068710460077j),(-0.008833766092722236+0.006133645324478309j),(-0.008833766092722236-0.006133645324478309j),(-0.004196160420669714+0j),(-0.014382258037325554+0j),(0.014141133097164789+0j)
426,(0.01997323522979244+0j),(-0.017252167429905454+0j),(0.008123442632956685+0j),(-0.013659570205160605+0.00697206871046009j),(-0.013659570205160605-0.00697206871046009j),(-0.008833766092722283+0.0061336453244783045j),(-0.008833766092722283-0.0061336453244783045j),(-0.004196160420669699+0j),(-0.014382258037325596+0j),(0.014141133097164839+0j)
427,(0.01997323522979251+0j),(-0.017252167429905506+0j),(0.008123442632956694+0j),(-0.013659570205160647+0.006972068710460097j),(-0.013659570205160647-0.006972068710460097j),(-0.008833766092722281+0.006133645324478296j),(-0.008833766092722281-0.006133645324478296j),(-0.004196160420669711+0j),(-0.014382258037325587+0j),(0.014141133097164872+0j)
428,(0.02031606973301928+0j),(-0.09173933608798253+0j),(-0.013234043973717665+0j),(0.014921598425708902+0.009944762042363204j),(0.014921598425708902-0.009944762042363204j),(0.011527006317747529+0.005201818832572353j),(0.011527006317747529-0.005201818832572353j),(0.004603435724345236+0j),(0.0032085767374600547+0j),(0.003187463705971927+0j)
429,(0.02031606973301897+0j),(-0.09173933608798246+0j),(-0.01323404397371773+0j),(0.014921598425708928+0.009944762042363229j),(0.014921598425708928-0.009944762042363229j),(0.011527006317747545+0.005201818832572337j),(0.011527006317747545-0.005201818832572337j),(0.004603435724345233+0j),(0.0032085767374600885+0j),(0.0031874637059719087+0j)
430,(0.019973235229791383+0j),(-0.017252167429904354+0j),(0.008123442632956715+0j),(-0.013659570205160562+0.006972068710460123j),(-0.013659570205160562-0.006972068710460123j),(-0.008833766092722255+0.006133645324478251j),(-0.008833766092722255-0.006133645324478251j),(-0.004196160420669776+0j),(-0.014382258037325483+0j),(0.014141133097164707+0j)
431,(0.037797897084767544+0j),(-0.03310604982029017+0j),(0.10208951698627429+0j),(-0.0042521658152197776-0.03443102028521413j),(-0.0042521658152197776+0.03443102028521413j),(-0.07247182331161038-0.015419421462419492j),(-0.07247182331161038+0.015419421462419492j),(0.0635868742104516+0j),(-0.08729457687291951+0j),(0.02733523445373747+0j)
432,(0.005604879737985759+0j),(-0.004987988086086152+0j),(0.1776238536417959+0j),(-0.020468526856013185-0.04478835770131012j),(-0.020468526856013185+0.04478835770131012j),(-0.18557828686765765-0j),(-0.18557828686765765+0j),(0.18882513195000405+0j),(-0.24521502472548684+0j),(0.12374730243353223+0j)
433,(0.002271231153803125+0j),(-0.0015881218791809941+0j),(0.04914399901084591+0j),(-0.08610601460764745-0.01959657277617839j),(-0.08610601460764745+0.01959657277617839j),(-0.07823532901788258-0.016248646968313993j),(-0.07823532901788258+0.016248646968313993j),(0.013741749988544957+0j),(-0.03252965055383626+0j),(-0.034833027931042766+0j)
434,(0.0022712311538028653+0j),(-0.001588121879180721+0j),(0.04914399901084587+0j),(-0.08610601460764757-0.019596572776178347j),(-0.08610601460764757+0.019596572776178347j),(-0.07823532901788278-0.016248646968314052j),(-0.07823532901788278+0.016248646968314052j),(0.01374174998854496+0j),(-0.03252965055383634+0j),(-0.03483302793104277+0j)
435,(-0.030108040094244552+0j),(0.02653709391124257+0j),(-0.039908627060412934+0j),(0.01887402187057002+0.0029466043664599056j),(0.01887402187057002-0.0029466043664599056j),(-0.004265374397378565-0.013093377525210753j),(-0.004265374397378565+0.013093377525210753j),(-0.015663357674648323+0j),(0.00902525676827704+0j),(-0.04656395963761526+0j)
436,(-0.030108040094244445+0j),(0.026537093911242562+0j),(-0.03990862706041312+0j),(0.018874021870570034+0.0029466043664598623j),(0.018874021870570034-0.0029466043664598623j),(-0.0042653743973785005-0.013093377525210734j),(-0.0042653743973785005+0.013093377525210734j),(-0.015663357674648423+0j),(0.009025256768277113+0j),(-0.0465639596376153+0j)
437,(-0.030108040094244774+0j),(0.026537093911242805+0j),(-0.03990862706041274+0j),(0.01887402187057008+0.0029466043664598896j),(0.01887402187057008-0.0029466043664598896j),(-0.004265374397378504-0.01309337752521075j),(-0.004265374397378504+0.01309337752521075j),(-0.015663357674648257+0j),(0.009025256768277038+0j),(-0.046563959637615185+0j)
438,(-0.030108040094244788+0j),(0.026537093911242895+0j),(-0.03990862706041283+0j),(0.01887402187057006+0.0029466043664598774j),(0.01887402187057006-0.0029466043664598774j),(-0.004265374397378519-0.013093377525210751j),(-0.004265374397378519+0.013093377525210751j),(-0.015663357674648277+0j),(0.009025256768277076+0j),(-0.046563959637615254+0j)
439,(0.0001939416574525341+0j),(2.3375822624820763e-05+0j),(-0.21071417170233267+0j),(-0.06128840994237622+0.012610808988467417j),(-0.06128840994237622-0.012610808988467417j),(-0.013453893788108852+0.016912462840746215j),(-0.013453893788108852-0.016912462840746215j),(-0.07076649898771337+0j),(0.03864552511398555+0j),(-0.07156560712420199+0j)
440,(0.0001939416574523536+0j),(2.3375822624953693e-05+0j),(-0.21071417170233286+0j),(-0.061288409942376235+0.012610808988467401j),(-0.061288409942376235-0.012610808988467401j),(-0.013453893788108762+0.016912462840746247j),(-0.013453893788108762-0.016912462840746247j),(-0.07076649898771349+0j),(0.03864552511398555+0j),(-0.07156560712420175+0j)
441,(0.00019394165745238975+0j),(2.33758226248076e-05+0j),(-0.21071417170233284+0j),(-0.061288409942376304+0.012610808988467368j),(-0.061288409942376304-0.012610808988467368j),(-0.013453893788108963+0.016912462840746278j),(-0.013453893788108963-0.016912462840746278j),(-0.07076649898771356+0j),(0.038645525113985335+0j),(-0.07156560712420172+0j)
442,0j,0j,0j,-0j,0j,-0j,0j,0j,0j,0j
443,(0.019973235229791907+0j),(-0.017252167429905117+0j),(0.008123442632957412+0j),(-0.013659570205160242+0.006972068710460033j),(-0.013659570205160242-0.006972068710460033j),(-0.008833766092722536+0.006133645324478213j),(-0.008833766092722536-0.006133645324478213j),(-0.004196160420669683+0j),(-0.014382258037326102+0j),(0.014141133097165016+0j)
444,(0.034189807897379985+0j),(-0.029701131292537614+0j),(0.012751283538322736+0j),(0.012598857956807557-0.001250177325658242j),(0.012598857956807557+0.001250177325658242j),(0.02111448375589252+5.0885188818419564e-05j),(0.02111448375589252-5.0885188818419564e-05j),(0.001752277331056021+0j),(0.02445274478267245+0j),(-0.031094960033941268+0j)
445,(-0.002941727610920873+0j),(0.00263269455038655+0j),(-0.07824144204633954+0j),(0.013440662980956763+0.007942343576962885j),(0.013440662980956763-0.007942343576962885j),(0.0075664971594379335-0.000679238523057994j),(0.0075664971594379335+0.000679238523057994j),(-0.054973420824668544+0j),(-0.0006207808271131389+0j),(-0.021537290173904402+0j)
446,(-0.002941727610920799+0j),(0.002632694550386451+0j),(-0.07824144204633934+0j),(0.013440662980956874+0.00794234357696285j),(0.013440662980956874-0.00794234357696285j),(0.00756649715943788-0.0006792385230580052j),(0.00756649715943788+0.0006792385230580052j),(-0.0549734208246684+0j),(-0.0006207808271131909+0j),(-0.021537290173904593+0j)
447,(0.019973235229808078+0j),(-0.017252167429921694+0j),(0.00812344263295807+0j),(-0.01365957020515873+0.006972068710459563j),(-0.01365957020515873-0.006972068710459563j),(-0.008833766092720543+0.006133645324479418j),(-0.008833766092720543-0.006133645324479418j),(-0.004196160420668611+0j),(-0.014382258037326671+0j),(0.014141133097166428+0j)
448,(-0.002383447679463818+0j),(0.0020726682130570084+0j),(0.11377466835793532+0j),(0.03963088658189495-0.006982757409804114j),(0.03963088658189495+0.006982757409804114j),(-0.07299468205823924-0.05472089697277516j),(-0.07299468205823924+0.05472089697277516j),(0.2500294707132249+0j),(-0.06333506064546393+0j),(-0.08204111035554129+0j)
449,(0.03418980789738003+0j),(-0.0297011312925375+0j),(0.012751283538322089+0j),(0.012598857956806939-0.0012501773256584409j),(0.012598857956806939+0.0012501773256584409j),(0.021114483755891384+5.0885188818331425e-05j),(0.021114483755891384-5.0885188818331425e-05j),(0.0017522773310556967+0j),(0.024452744782671083+0j),(-0.03109496003394001+0j)
450,(0.03418980789738012+0j),(-0.02970113129253764+0j),(0.012751283538322009+0j),(0.012598857956806936-0.001250177325658421j),(0.012598857956806936+0.001250177325658421j),(0.021114483755891308+5.0885188818411256e-05j),(0.021114483755891308-5.0885188818411256e-05j),(0.0017522773310556918+0j),(0.024452744782670895+0j),(-0.031094960033939918+0j)
451,(0.03418980789737991+0j),(-0.02970113129253731+0j),(0.012751283538321985+0j),(0.01259885795680694-0.0012501773256584628j),(0.01259885795680694+0.0012501773256584628j),(0.021114483755891356+5.0885188818374156e-05j),(0.021114483755891356-5.0885188818374156e-05j),(0.0017522773310556239+0j),(0.024452744782671024+0j),(-0.031094960033939998+0j)
452,0j,0j,0j,-0j,0j,-0j,0j,0j,0j,0j
453,(0.03418980789738056+0j),(-0.029701131292538006+0j),(0.012751283538322026+0j),(0.01259885795680726-0.0012501773256585321j),(0.01259885795680726+0.0012501773256585321j),(0.021114483755891374+5.088518881832926e-05j),(0.021114483755891374-5.088518881832926e-05j),(0.001752277331055947+0j),(0.0244527447826709+0j),(-0.031094960033939953+0j)
454,(0.019973235229796004+0j),(-0.017252167429909496+0j),(0.008123442632956664+0j),(-0.013659570205160412+0.006972068710460386j),(-0.013659570205160412-0.006972068710460386j),(-0.008833766092721714+0.006133645324478805j),(-0.008833766092721714-0.006133645324478805j),(-0.004196160420669319+0j),(-0.014382258037325468+0j),(0.014141133097164806+0j)
455,(-0.0023834476794640765+0j),(0.0020726682130573063+0j),(0.11377466835793558+0j),(0.039630886581895126-0.0069827574098041975j),(0.039630886581895126+0.0069827574098041975j),(-0.07299468205823925-0.054720896972775296j),(-0.07299468205823925+0.054720896972775296j),(0.2500294707132251+0j),(-0.06333506064546397+0j),(-0.08204111035554112+0j)
456,0j,0j,0j,-0j,0j,-0j,0j,0j,0j,0j
457,(0.019973235229790956+0j),(-0.01725216742990397+0j),(0.008123442632956881+0j),(-0.01365957020516033+0.006972068710459968j),(-0.01365957020516033-0.006972068710459968j),(-0.008833766092722326+0.006133645324478166j),(-0.008833766092722326-0.006133645324478166j),(-0.0041961604206698444+0j),(-0.014382258037325742+0j),(0.014141133097165026+0j)
458,(0.034189807897380006+0j),(-0.029701131292537205+0j),(0.012751283538321822+0j),(0.012598857956807204-0.0012501773256585666j),(0.012598857956807204+0.0012501773256585666j),(0.02111448375589111+5.088518881824799e-05j),(0.02111448375589111-5.088518881824799e-05j),(0.0017522773310559103+0j),(0.024452744782670767+0j),(-0.031094960033939925+0j)
459,(0.03418980789737982+0j),(-0.029701131292537004+0j),(0.012751283538321783+0j),(0.012598857956807165-0.0012501773256586072j),(0.012598857956807165+0.0012501773256586072j),(0.021114483755891082+5.0885188818204377e-05j),(0.021114483755891082-5.0885188818204377e-05j),(0.001752277331055926+0j),(0.024452744782670757+0j),(-0.031094960033939925+0j)
460,(0.03418980789737953+0j),(-0.029701131292536785+0j),(0.012751283538321733+0j),(0.012598857956807203-0.001250177325658556j),(0.012598857956807203+0.001250177325658556j),(0.021114483755891002+5.088518881819873e-05j),(0.021114483755891002-5.088518881819873e-05j),(0.0017522773310558824+0j),(0.024452744782670743+0j),(-0.031094960033939845+0j)
461,(-9.260875593492042e-05+0j),(9.965365714433866e-05+0j),(0.017925159929124506+0j),(-0.05255604623325245+0.0500398835361606j),(-0.05255604623325245-0.0500398835361606j),(0.015396685016189753+0.001527700433848834j),(0.015396685016189753-0.001527700433848834j),(-0.06128819629488942+0j),(0.08362711796918+0j),(-0.08119232278203448+0j)
462,(-9.26087559348962e-05+0j),(9.965365714433561e-05+0j),(0.017925159929124676+0j),(-0.05255604623325238+0.050039883536160505j),(-0.05255604623325238-0.050039883536160505j),(0.01539668501618966+0.0015277004338488014j),(0.01539668501618966-0.0015277004338488014j),(-0.06128819629488918+0j),(0.08362711796917982+0j),(-0.08119232278203439+0j)
463,(-9.2608755934876e-05+0j),(9.965365714428371e-05+0j),(0.017925159929124464+0j),(-0.0525560462332524+0.05003988353616063j),(-0.0525560462332524-0.05003988353616063j),(0.015396685016189777+0.0015277004338488593j),(0.015396685016189777-0.0015277004338488593j),(-0.06128819629488935+0j),(0.08362711796918003+0j),(-0.08119232278203452+0j)
464,(-9.260875593463042e-05+0j),(9.965365714416263e-05+0j),(0.01792515992912469+0j),(-0.05255604623325251+0.05003988353616058j),(-0.05255604623325251-0.05003988353616058j),(0.015396685016189487+0.0015277004338488406j),(0.015396685016189487-0.0015277004338488406j),(-0.06128819629488923+0j),(0.08362711796917975+0j),(-0.08119232278203452+0j)
465,(0.019973235229791986+0j),(-0.017252167429905187+0j),(0.008123442632957221+0j),(-0.01365957020516022+0.006972068710460076j),(-0.01365957020516022-0.006972068710460076j),(-0.008833766092722444+0.00613364532447823j),(-0.008833766092722444-0.00613364532447823j),(-0.004196160420669762+0j),(-0.014382258037325955+0j),(0.01414113309716503+0j)
466,(0.019973235229792066+0j),(-0.017252167429905138+0j),(0.008123442632956999+0j),(-0.013659570205160298+0.0069720687104600585j),(-0.013659570205160298-0.0069720687104600585j),(-0.008833766092722373+0.006133645324478235j),(-0.008833766092722373-0.006133645324478235j),(-0.0041961604206697005+0j),(-0.014382258037325832+0j),(0.014141133097164948+0j)
467,(0.019973235229791927+0j),(-0.017252167429905076+0j),(0.008123442632957193+0j),(-0.013659570205160194+0.006972068710460068j),(-0.013659570205160194-0.006972068710460068j),(-0.00883376609272242+0.006133645324478205j),(-0.00883376609272242-0.006133645324478205j),(-0.004196160420669743+0j),(-0.014382258037325905+0j),(0.01414113309716499+0j)
468,0j,0j,0j,-0j,0j,-0j,0j,0j,0j,0j
469,0j,0j,0j,-0j,0j,-0j,0j,0j,0j,0j
470,0j,0j,0j,-0j,0j,-0j,0j,0j,0j,0j
471,(0.01997323522979314+0j),(-0.01725216742990682+0j),(0.00812344263295839+0j),(-0.013659570205158685+0.006972068710460011j),(-0.013659570205158685-0.006972068710460011j),(-0.008833766092721249+0.006133645324478209j),(-0.008833766092721249-0.006133645324478209j),(-0.004196160420669976+0j),(-0.014382258037325783+0j),(0.01414113309716593+0j)
